Name,Price,Availability,Rating,Link
A Light in the Attic,£51.77,"

    
        In stock
    
",Three,../../../a-light-in-the-attic_1000/index.html
The Black Maria,£52.15,"

    
        In stock
    
",One,../../../the-black-maria_991/index.html
Shakespeare's Sonnets,£20.66,"

    
        In stock
    
",Four,../../../shakespeares-sonnets_989/index.html
Olio,£23.88,"

    
        In stock
    
",One,../../../olio_984/index.html
You can't bury them all: Poems,£33.63,"

    
        In stock
    
",Two,../../../you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,£57.31,"

    
        In stock
    
",Three,../../../slow-states-of-collapse-poems_960/index.html
Untitled Collection: Sabbath Poems 2014,£14.27,"

    
        In stock
    
",Four,../../../untitled-collection-sabbath-poems-2014_953/index.html
Poems That Make Grown Women Cry,£14.19,"

    
        In stock
    
",Four,../../../poems-that-make-grown-women-cry_824/index.html
Night Sky with Exit Wounds,£41.05,"

    
        In stock
    
",One,../../../night-sky-with-exit-wounds_822/index.html
salt.,£46.78,"

    
        In stock
    
",Four,../../../salt_731/index.html
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,"

    
        In stock
    
",Five,../../../quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html
Out of Print: City Lights Spotlight No. 14,£53.64,"

    
        In stock
    
",Five,../../../out-of-print-city-lights-spotlight-no-14_536/index.html
Les Fleurs du Mal,£29.04,"

    
        In stock
    
",Five,../../../les-fleurs-du-mal_530/index.html
Howl and Other Poems,£40.45,"

    
        In stock
    
",Two,../../../howl-and-other-poems_522/index.html
Leave This Song Behind: Teen Poetry at Its Best,£51.17,"

    
        In stock
    
",Five,../../../leave-this-song-behind-teen-poetry-at-its-best_474/index.html
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,"

    
        In stock
    
",Five,../../../the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html
The Crossover,£38.77,"

    
        In stock
    
",Four,../../../the-crossover_398/index.html
Booked,£17.49,"

    
        In stock
    
",Five,../../../booked_365/index.html
Twenty Love Poems and a Song of Despair,£30.95,"

    
        In stock
    
",Four,../../../twenty-love-poems-and-a-song-of-despair_91/index.html
