Name,Price,Availability,Rating,Link
In Her Wake,£12.84,"

    
        In stock
    
",One,../../../in-her-wake_980/index.html
The Elephant Tree,£23.82,"

    
        In stock
    
",Five,../../../the-elephant-tree_968/index.html
Behind Closed Doors,£52.22,"

    
        In stock
    
",Four,../../../behind-closed-doors_962/index.html
You (You #1),£43.61,"

    
        In stock
    
",Five,../../../you-you-1_784/index.html
The Guilty (Will Robie #4),£13.82,"

    
        In stock
    
",Two,../../../the-guilty-will-robie-4_750/index.html
The 14th Colony (Cotton Malone #11),£39.24,"

    
        In stock
    
",One,../../../the-14th-colony-cotton-malone-11_744/index.html
Give It Back,£18.32,"

    
        In stock
    
",Two,../../../give-it-back_430/index.html
Killing Floor (Jack Reacher #1),£31.49,"

    
        In stock
    
",Four,../../../killing-floor-jack-reacher-1_382/index.html
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,"

    
        In stock
    
",Three,../../../the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html
Far From True (Promise Falls Trilogy #2),£34.93,"

    
        In stock
    
",Two,../../../far-from-true-promise-falls-trilogy-2_320/index.html
The Travelers,£15.77,"

    
        In stock
    
",One,../../../the-travelers_285/index.html
